episode	speaker	utterances
s01e01	monica	73
s01e01	rachel	48
s01e01	ross	47
s01e01	joey	39
s01e01	chandler	39
s01e01	phoebe	18
s01e01	paul	17
s01e01	frannie	5
s01e02	ross	68
s01e02	rachel	41
s01e02	monica	33
s01e02	carol	21
s01e02	chandler	17
s01e02	barry	17
s01e02	phoebe	15
s01e02	mrs. geller	12
s01e02	joey	11
s01e02	susan	10
s01e02	mr. geller	7
s01e02	robbie	5
s01e02	marsha	5
s01e02	dr. oberman	2
s01e02	chrissy on three’s company	1
s01e02	bernice	1
s01e03	monica	59
s01e03	chandler	43
s01e03	ross	38
s01e03	phoebe	38
s01e03	joey	32
s01e03	rachel	28
s01e03	lizzie	11
s01e03	paula	7
s01e03	alan	6
s01e04	monica	54
s01e04	rachel	49
s01e04	ross	47
s01e04	phoebe	39
s01e04	chandler	32
s01e04	joey	31
s01e04	joanne	5
s01e04	kiki	4
s01e04	leslie	3
s01e04	kid	3
s01e05	chandler	42
s01e05	ross	41
s01e05	rachel	37
s01e05	joey	37
s01e05	monica	34
s01e05	phoebe	25
s01e05	janice	13
s01e05	angela	13
s01e05	bob	4
s01e06	chandler	60
s01e06	joey	46
s01e06	monica	38
s01e06	ross	29
s01e06	aurora	29
s01e06	rachel	19
s01e06	phoebe	14
s01e06	estelle	9
s01e07	ross	56
s01e07	rachel	44
s01e07	joey	33
s01e07	monica	27
s01e07	chandler	26
s01e07	phoebe	25
s01e07	jill	15
s01e07	paolo	13
s01e07	mr. heckles	5
s01e08	ross	50
s01e08	monica	40
s01e08	chandler	38
s01e08	mrs. geller	23
s01e08	rachel	18
s01e08	phoebe	16
s01e08	mr. geller	16
s01e08	joey	13
s01e08	shelley	12
s01e08	aunt lillian	8
s01e08	lowell	7
s01e08	andrea	2
s01e09	monica	49
s01e09	rachel	39
s01e09	ross	39
s01e09	joey	33
s01e09	chandler	27
s01e09	phoebe	26
s01e09	susan	13
s01e09	carol	6
s01e09	terry	2
s01e10	phoebe	55
s01e10	chandler	34
s01e10	ross	30
s01e10	monica	29
s01e10	david	29
s01e10	rachel	26
s01e10	joey	19
s01e10	max	13
s01e10	janice	8
s01e10	sandy	4
s01e10	fun bobby	3
s01e10	dick clark	2
s01e11	ross	65
s01e11	phoebe	45
s01e11	chandler	44
s01e11	monica	43
s01e11	joey	33
s01e11	mrs. bing	31
s01e11	rachel	21
s01e11	jay leno	4
s01e11	paolo	3
s01e12	ross	53
s01e12	phoebe	45
s01e12	rachel	39
s01e12	chandler	34
s01e12	joey	32
s01e12	monica	24
s01e12	carol	12
s01e12	paolo	7
s01e12	susan	5
s01e12	paulo	1
s01e13	joey	46
s01e13	chandler	37
s01e13	phoebe	29
s01e13	rachel	28
s01e13	mr. tribbiani	25
s01e13	roger	25
s01e13	monica	20
s01e13	ronni	19
s01e13	ross	13
s01e13	mrs. tribbiani	8
s01e14	chandler	42
s01e14	ross	26
s01e14	monica	24
s01e14	joey	23
s01e14	janice	23
s01e14	rachel	21
s01e14	phoebe	15
s01e14	carol	14
s01e14	kristin	8
s01e14	lorraine	4
s01e14	susan	3
s01e15	ross	42
s01e15	monica	41
s01e15	chandler	37
s01e15	joey	34
s01e15	rachel	34
s01e15	phoebe	31
s01e15	steve	24
s01e15	celia	6
s01e15	mrs. tedlock	1
s01e15	helen	1
s01e16	chandler	54
s01e16	phoebe	38
s01e16	ross	33
s01e16	joey	26
s01e16	rachel	23
s01e16	monica	19
s01e16	nina	14
s01e16	susan	13
s01e16	jamie	11
s01e16	mr. douglas	10
s01e16	fran	7
s01e16	carol	6
s01e16	ursula	6
s01e16	mr. heckles	4
s01e16	helen	2
s01e17	monica	62
s01e17	rachel	59
s01e17	ross	39
s01e17	phoebe	33
s01e17	joey	26
s01e17	chandler	23
s01e17	ursula	17
s01e17	dr. mitchell	15
s01e17	dr. rosen	11
s01e17	mr. geller	8
s01e18	rachel	76
s01e18	ross	64
s01e18	monica	43
s01e18	phoebe	39
s01e18	chandler	36
s01e18	joey	28
s01e18	aunt iris	11
s01e19	rachel	58
s01e19	ross	52
s01e19	monica	39
s01e19	phoebe	24
